SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
1,23/01/2024,Balance in Account,-,1500,1,24/01/2024,Bus Spare (Home to Room),-,55,,,,,,,,
2,23/01/2024,Amount in hand,-,510,2,24/01/2024,Bus spare (Room to Clg to Room),-,50,,,,,,,,
3,24/01/2024,Appa kudatha amount ,-,1500,3,24/01/2024,Crocs Slipper,-,330,,,,,,,,
4,30/01/2024,Appa kudatha amount ,-,1000,4,24/01/2024,beef pakoda,-,100,,,,,,,,
5,01/02/2024,Appa gpay,-,91,5,24/01/2024,Tea,-,20,,,,,,,,
6,11/02/2024,appa rent  ku kudha amount ,-,1500,6,25/01/2024,Facewash,-,110,,,,,,,,
7,12/02/2024,appa kudatha amount ,-,500,7,25/01/2024,Supermarket ,-,150,,,,,,,,
8,13/02/2024,amma amount ,-,200,8,25/01/2024,Chips,-,60,,,,,,,,
9,17/02/2024,Patti ,-,500,9,26/01/2024,Masala,-,100,,,,,,,,
10,20/02/2024,Amma account la irrutha  for Tnpsc,-,300,10,24/12/2024,Exam Fees ,-,1500,,,,,,,,
11,21/02/2024,amma kudatha amount ,-,100,11,27/01/2024,Order,-,62,,,,,,,,
12,21/02/2024,appa paytm,-,220,12,27/01/2024,Water,-,17,,,,,,,,
13,22/02/2024,amma account la irruthu edutha,-,250,13,28/01/2024,chips ,-,40,,,,,,,,
14,25/02/2024,appa given for haircut ,-,100,14,28/01/2024,mukil,-,20,,,,,,,,
15,26/02/2024,appa given,-,500,15,28/01/2024,imman,-,10,,,,,,,,
16,06/03/2024,Anna for petrol ,-,100,16,29/01/2024,Mrng Bus spare,-,10,,,,,,,,
17,10/03/2024,appa for chennai,-,500,17,29/01/2024,Print out,-,10,,,,,,,,
18,11/03/2024,patti,-,500,18,29/01/2024,Afternoon spare,-,50,,,,,,,,
19,11/03/2024,amma account ,-,300,19,29/01/2024,Home spare,-,56,,,,,,,,
20,11/03/2024,god,-,500,20,30/01/2024,Topup,-,160,,,,,,,,
21,12/03/2024,Appa,-,1000,21,01/02/2024,Chips and buds,-,35,,,,,,,,
22,12/03/2024,Appa given for vegetables ,-,200,22,01/02/2024,Home leave spare,-,15,,,,,,,,
23,13/03/2024,Appa Emi account ,-,1000,23,01/02/2024,Arcot to Kanchi,-,42,,,,,,,,
24,25/03/2024,appa kudatha amount ,-,550,25,01/02/2024,bonda & chips,-,73,,,,,,,,
25,28/03/2024,appa Emi amount balance ,-,670,26,01/02/2024,Rice,-,70,,,,,,,,
26,08/04/2024,appa gpay la send panna amount ,-,500,27,01/02/2024,order,-,97,,,,,,,,
27,07/04/2024,haircut money + appa account ,-,450,28,01/02/2024,Halls,-,14,,,,,,,,
28,10/04/2024,amma,-,500,29,02/02/2024,water,-,20,,,,,,,,
29,16/04/2024,appa account la,-,250,30,02/02/2024,chips and banana,-,35,,,,,,,,
30,16/04/2024,amma ,-,500,31,02/02/2024,Maggie  and dosa mavuh,-,53,,,,,,,,
31,17/04/2024,Patti,-,200,32,03/02/2024,baji mavuh + oil,-,48,,,,,,,,
32,22/04/2024,appa gpay ,-,500,33,03/02/2024,chips,-,35,,,,,,,,
33,29/04/2024,appa gpay,-,400,34,04/02/2024,Milk,-,20,,,,,,,,
34,30/04/2024,appa gpay,-,670,35,05/02/2024,Tea and Chips,-,45,,,,,,,,
35,08/05/2024,appa gpay,-,250,36,05/02/2024,order,-,100,,,,,,,,
36,10/05/2024,gokul,-,0,37,05/02/2024,bus spare,-,20,,,,,,,,
37,12/05/2024,appa,-,1100,38,06/02/2024,Weekly Topup,-,160,,,,,,,,
38,11/05/2024,amma for lens,-,1000,39,06/02/2024,Order,-,100,,,,,,,,
39,14/05/2024,amma,-,100,40,06/02/2024,water,-,7,,,,,,,,
40,14/05/2024,periama +patti,-,700,41,07/02/2824,snacks,-,103,,,,,,,,
41,17/05/2024,appa,-,500,42,07/02/2024,order,-,40,,,,,,,,
42,19/05/2024,amma,-,1000,43,07/02/2024,bus spare,-,30,,,,,,,,
43,29/05/2024,scholarship amount taken,-,500,44,08/02/2024,chocolate,-,10,,,,,,,,
44,04/06/2024,appa,-,2000,45,08/02/2024,bus spare,-,30,,,,,,,,
45,09/06/2024,appa+amma,-,1100,46,08/02/2024,home spare,-,80,,,,,,,,
46,14/06/2024,lic amount ,-,231,47,09/02/2024,topup ,-,80,,,,,,,,
47,16/06/2024,appa(amma),-,1000,48,09/02/2024,Panipuri,-,60,,,,,,,,
48,19/06/2024,patti,-,350,49,11/02/2024,room rent,-,1250,,,,,,,,
49,08/07/2024,appa ,-,700,49,12/02/2024,bus spare to college ,-,60,,,,,,,,
50,08/07/2024,amma+busspare,-,1200,50,12/02/2024,tea & icecream,-,20,,,,,,,,
